MeetDate,MeetStart,HomeTeam,VisitingTeam,SwimCourse,MeetName,Location,MeetTemplateID,Team3,Team4
6/16/2025,6:00 PM,RRST,BLMR,SCM,,,17226,,
6/23/2025,6:00 PM,EL,BLMR,SCM,,,17226,,
6/23/2025,6:00 PM,KCD,JRCC,SCM,,,17226,,
6/26/2025,6:00 PM,BLMAR,KCD,SCM,,,17226,,
6/26/2025,6:00 PM,RRST,EL,SCM,,,17226,,
7/7/2025,6:00 PM,BLMAR,JRCC,SCM,,,17226,,
7/10/2025,6:00 PM,EL,KCD,SCM,,,17226,,
7/10/2025,6:00 PM,JRCC,RRST,SCM,,,17226,,
7/14/2025,6:00 PM,KCD,RRST,SCM,,,17226,,
7/17/2025,6:00 PM,JRCC,EL,SCM,,,17226,,